url, csvfile, lastUpdated
cocktails.fandom.com, cocktails.csv, 2019-01-01
200movies.fandom.com, 200movies.wikia.com.csv, 2019-01-01
lagunanegra.fandom.com/es, es.lagunanegra.wikia.com.csv, 2019-01-01
shamanking.fandom.com/es, es.shamanking.wikia.com.csv, 2019-01-01
proteins.fandom.com, proteins.csv, 2019-01-01
psychology.wikia.com, psychology.wikia.com.csv, 2019-01-01
zelda.fandom.com, zelda.csv, 2019-01-01
undertale.fandom.com/de, de.undertale.wikia.com.csv, 2019-01-01
movies.fandom.com, movies.fandom.com.csv, 2019-01-01
